FASTQ;Replicate;trimming;RNA1;RNA2;RNA3;RNA4;RNA5;RNA6
SRR6464616;rep2;NEBNext_trim01;0.995745527;0.953279425;0.192254495;0.38697318;0.925919704;0.047619048
SRR6464616;rep2;NEBNext_trim02;0.001457692;4.7288E-05;0;0;0.001511843;0
SRR6464616;rep2;NEBNext_trim03;0.000857016;0.01153828;0;0.019157088;0.000839913;0
SRR6464623;rep1;NEBNext_trim01;0.99509171;0.941696573;0.174358974;0.309160305;0.922733648;0
SRR6464623;rep1;NEBNext_trim02;0.001962384;0.000260051;0.002051282;0.003816794;0.001020018;0
SRR6464623;rep1;NEBNext_trim03;0.000200433;0.012430436;0;0.022900763;0;0
SRR6464673;rep2;CATS_trim01;0;0;0;0;0;0
SRR6464673;rep2;CATS_trim02;0;0;0;0;0;0
SRR6464673;rep2;CATS_trim03;0.880854162;0.000367458;0.895766057;0;0.85914506;0.602870813
SRR6464673;rep2;CATS_trim04;0.880854162;0.000367458;0.895766057;0;0.85914506;0.602870813
SRR6464673;rep2;CATS_trim05;0.121329774;0.000367458;0.033010405;0;0.771548704;0.038277512
SRR6464673;rep2;CATS_trim06;0.126425625;0.000367458;0.033010405;0;0.768044849;0.086124402
SRR6464674;rep1;CATS_trim01;0;0;0;0;0;0
SRR6464674;rep1;CATS_trim02;0;0;0;0;0;0
SRR6464674;rep1;CATS_trim03;0.874825662;0.000424191;0.90473784;0;0.875227355;0.577075099
SRR6464674;rep1;CATS_trim04;0.874825662;0.000424191;0.90473784;0;0.875227355;0.577075099
SRR6464674;rep1;CATS_trim05;0.135983264;0.000424191;0.030448515;0;0.793379411;0.067193676
SRR6464674;rep1;CATS_trim06;0.140167364;0.000424191;0.030448515;0;0.791924336;0.090909091